OrderDate;Product Name;Category Name;Order;Order Price;Product Price;Gap Price;Gross Product Sales;Nett Product Sales
1996-07-04 00:00:00;Mozzarella di Giovanni;Dairy Products;1;34,8;34,8;0;174;174
1996-07-04 00:00:00;Queso Cabrales;Dairy Products;1;14;21;7;168;168
1996-07-04 00:00:00;Singaporean Hokkien Fried Mee;Grains/Cereals;1;9,8;14;4,2;98;98
1996-07-05 00:00:00;Manjimup Dried Apples;Produce;1;42,4;53;10,6;1696;1696
1996-07-05 00:00:00;Tofu;Produce;1;18,6;23,25;4,65;167,4;167,40000000000001
1996-07-08 00:00:00;Gustaf's Knäckebröd;Grains/Cereals;1;16,8;21;4,2;100,8;100,5
1996-07-08 00:00:00;Jack's New England Clam Chowder;Seafood;1;7,7;9,65;1,95;77;77
1996-07-08 00:00:00;Louisiana Fiery Hot Pepper Sauce;Condiments;2;33,6;42,1;8,5;588;585,75
1996-07-08 00:00:00;Manjimup Dried Apples;Produce;1;42,4;53;10,6;1484;1478,75
1996-07-08 00:00:00;Ravioli Angelo;Grains/Cereals;1;15,6;19,5;3,9;234;233,25
1996-07-09 00:00:00;Camembert Pierrot;Dairy Products;1;27,2;34;6,8;1088;1088
1996-07-09 00:00:00;Geitost;Dairy Products;1;2;2,5;0,5;50;48,75
1996-07-09 00:00:00;Sir Rodney's Marmalade;Confections;1;64,8;81;16,2;2592;2590
1996-07-10 00:00:00;Chartreuse verte;Beverages;1;14,4;18;3,6;604,8;604,79999999999995
1996-07-10 00:00:00;Gorgonzola Telino;Dairy Products;1;10;12,5;2,5;200;200
1996-07-10 00:00:00;Maxilaku;Confections;1;16;20;4;640;640
1996-07-11 00:00:00;Guaraná Fantástica;Beverages;1;3,6;4,5;0,9;54;51,75
1996-07-11 00:00:00;Longlife Tofu;Produce;1;8;10;2;168;168
1996-07-11 00:00:00;Pâté chinois;Meat/Poultry;1;19,2;24;4,8;403,2;400,05000000000001
1996-07-12 00:00:00;Chang;Beverages;1;15,2;19;3,8;304;304
1996-07-12 00:00:00;Inlagd Sill;Seafood;1;15,2;19;3,8;380;380
1996-07-12 00:00:00;Pavlova;Confections;1;13,9;17,45;3,55;486,5;486,5
1996-07-12 00:00:00;Raclette Courdavault;Dairy Products;1;44;55;11;1320;1320
1996-07-15 00:00:00;Original Frankfurter grüne Soße;Condiments;1;10,4;13;2,6;124,8;124,8
1996-07-15 00:00:00;Perth Pasties;Meat/Poultry;1;26,2;32,8;6,6;393;393
1996-07-16 00:00:00;Chartreuse verte;Beverages;1;14,4;18;3,6;86,4;86,400000000000006
1996-07-16 00:00:00;Original Frankfurter grüne Soße;Condiments;1;10,4;13;2,6;156;156
1996-07-16 00:00:00;Schoggi Schokolade;Confections;1;35,1;43,9;8,8;877,5;877,5
1996-07-17 00:00:00;Chang;Beverages;1;15,2;19;3,8;760;750
1996-07-17 00:00:00;Chef Anton's Gumbo Mix;Condiments;1;17;21,35;4,35;1105;1092
1996-07-17 00:00:00;Mascarpone Fabioli;Dairy Products;1;25,6;32;6,4;153,6;152,40000000000001
1996-07-18 00:00:00;Gravad lax;Seafood;1;20,8;26;5,2;20,8;20,800000000000001
1996-07-18 00:00:00;Sir Rodney's Scones;Confections;1;8;10;2;80;80
1996-07-19 00:00:00;Jack's New England Clam Chowder;Seafood;1;7,7;9,65;1,95;123,2;119,2
1996-07-19 00:00:00;Outback Lager;Beverages;1;12;15;3;252;246,75
1996-07-19 00:00:00;Ravioli Angelo;Grains/Cereals;1;15,6;19,5;3,9;780;780
1996-07-19 00:00:00;Sir Rodney's Scones;Confections;1;8;10;2;160;160
1996-07-19 00:00:00;Steeleye Stout;Beverages;1;14,4;18;3,6;288;288
1996-07-19 00:00:00;Tarte au sucre;Confections;1;39,4;49,3;9,9;591;587,25
1996-07-22 00:00:00;Chef Anton's Gumbo Mix;Condiments;1;17;21,35;4,35;204;201,59999999999999
1996-07-22 00:00:00;Gnocchi di nonna Alice;Grains/Cereals;1;30,4;38;7,6;60,8;60,799999999999997
1996-07-22 00:00:00;Uncle Bob's Organic Dried Pears;Produce;1;24;30;6;360;360
1996-07-23 00:00:00;Guaraná Fantástica;Beverages;1;3,6;4,5;0,9;100,8;100,8
1996-07-23 00:00:00;Longlife Tofu;Produce;1;8;10;2;288;279
1996-07-23 00:00:00;Nord-Ost Matjeshering;Seafood;1;20,7;25,89;5,19;1242;1227
1996-07-23 00:00:00;Pavlova;Confections;1;13,9;17,45;3,55;834;819
1996-07-24 00:00:00;Chang;Beverages;1;15,2;19;3,8;532;532
1996-07-24 00:00:00;Jack's New England Clam Chowder;Seafood;1;7,7;9,65;1,95;192,5;188,75
1996-07-25 00:00:00;Alice Mutton;Meat/Poultry;1;31,2;39;7,8;936;936
1996-07-25 00:00:00;Outback Lager;Beverages;1;12;15;3;240;240
1996-07-26 00:00:00;Queso Manchego La Pastora;Dairy Products;1;30,4;38;7,6;364,8;364,19999999999999
1996-07-29 00:00:00;Boston Crab Meat;Seafood;1;14,7;18,4;3,7;735;735
1996-07-29 00:00:00;Lakkalikööri;Beverages;1;14,4;18;3,6;216;213,75
1996-07-29 00:00:00;Raclette Courdavault;Dairy Products;1;44;55;11;3080;3069,5
1996-07-30 00:00:00;Mozzarella di Giovanni;Dairy Products;1;27,8;34,8;7;111,2;111,2
1996-07-30 00:00:00;Thüringer Rostbratwurst;Meat/Poultry;1;99;123,79;24,79;990;990
1996-07-31 00:00:00;Geitost;Dairy Products;1;2;2,5;0,5;120;117
1996-07-31 00:00:00;Mozzarella di Giovanni;Dairy Products;1;27,8;34,8;7;556;555
1996-08-01 00:00:00;Geitost;Dairy Products;1;2;2,5;0,5;48;48
1996-08-01 00:00:00;Inlagd Sill;Seafood;1;15,2;19;3,8;456;456
1996-08-01 00:00:00;Ipoh Coffee;Beverages;1;36,8;46;9,2;920;920
1996-08-02 00:00:00;Gorgonzola Telino;Dairy Products;1;10;12,5;2,5;400;400
1996-08-02 00:00:00;Mozzarella di Giovanni;Dairy Products;1;27,8;34,8;7;667,2;667,20000000000005
1996-08-02 00:00:00;Sir Rodney's Marmalade;Confections;1;64,8;81;16,2;388,8;388,80000000000001
1996-08-05 00:00:00;Boston Crab Meat;Seafood;1;14,7;18,4;3,7;882;879
1996-08-05 00:00:00;Geitost;Dairy Products;1;2;2,5;0,5;40;40
1996-08-05 00:00:00;Gorgonzola Telino;Dairy Products;1;10;12,5;2,5;150;149,25
1996-08-05 00:00:00;Ikura;Seafood;1;24,8;31;6,2;595,2;594
1996-08-05 00:00:00;Lakkalikööri;Beverages;1;14,4;18;3,6;475,2;473,55000000000001
1996-08-06 00:00:00;Flotemysost;Dairy Products;1;17,2;21,5;4,3;344;344
1996-08-06 00:00:00;Mozzarella di Giovanni;Dairy Products;1;27,8;34,8;7;194,6;194,59999999999999
1996-08-07 00:00:00;Guaraná Fantástica;Beverages;1;3,6;4,5;0,9;43,2;42,600000000000001
1996-08-07 00:00:00;Raclette Courdavault;Dairy Products;1;44;55;11;264;263,69999999999999
1996-08-08 00:00:00;Ikura;Seafood;1;24,8;31;6,2;372;372
1996-08-08 00:00:00;Konbu;Seafood;1;4,8;6;1,2;48;48
1996-08-09 00:00:00;Rössle Sauerkraut;Produce;1;36,4;45,6;9,2;728;728
1996-08-09 00:00:00;Tarte au sucre;Confections;1;39,4;49,3;9,9;472,8;472,80000000000001
1996-08-12 00:00:00;Gula Malacca;Condiments;1;15,5;19,45;3,95;248;248
1996-08-12 00:00:00;Raclette Courdavault;Dairy Products;1;44;55;11;660;660
1996-08-12 00:00:00;Röd Kaviar;Seafood;1;12;15;3;300;300
1996-08-12 00:00:00;Vegie-spread;Condiments;1;35,1;43,9;8,8;280,8;280,80000000000001
1996-08-13 00:00:00;Alice Mutton;Meat/Poultry;1;31,2;39;7,8;468;464,25
1996-08-14 00:00:00;Guaraná Fantástica;Beverages;2;7,2;9;1,8;64,8;64,799999999999997
1996-08-14 00:00:00;Pâté chinois;Meat/Poultry;1;19,2;24;4,8;384;384
1996-08-14 00:00:00;Rhönbräu Klosterbier;Beverages;1;6,2;7,75;1,55;186;186
1996-08-14 00:00:00;Steeleye Stout;Beverages;1;14,4;18;3,6;57,6;57,600000000000001
1996-08-14 00:00:00;Teatime Chocolate Biscuits;Confections;1;7,3;9,2;1,9;7,3;7,2999999999999998
1996-08-15 00:00:00;Nord-Ost Matjeshering;Seafood;1;20,7;25,89;5,19;124,2;124,2
